M,N,K,P,Tp,S,E,W,Cost,T0
300,300,300,1,0.197518,1.10273,1.10273,54000000,0.197518,0.0430212
377,377,377,2,0.194001,1.95707,0.978535,107165266,0.388002,0.147314
432,432,432,3,0.199119,2.89278,0.964259,161243136,0.597357,0.344082
476,476,476,4,0.245526,3.04194,0.760484,215700352,0.982104,0.733509
512,512,512,5,0.251391,4.13744,0.827489,268435456,1.25695,1.30738
545,545,545,6,0.257056,4.50658,0.751097,323757250,1.54234,1.78671
573,573,573,7,0.41375,3.22112,0.46016,376265034,2.89625,3.85995
600,600,600,8,0.412118,3.7593,0.469912,432000000,3.29694,5.10787
624,624,624,9,0.561674,3.10813,0.345347,485941248,5.05506,8.8249
646,646,646,10,0.649677,3.05929,0.305929,539172272,6.49677,12.9126
667,667,667,11,0.834934,2.55825,0.232569,593481926,9.18427,19.6174
686,686,686,12,0.742304,3.09973,0.258311,645657712,8.90765,20.496
705,705,705,13,0.711202,3.51099,0.270076,700805250,9.24562,23.0865
723,723,723,14,0.788632,3.41618,0.244013,755866134,11.0408,29.7453
739,739,739,15,0.905541,3.19859,0.21324,807166838,13.5831,39.3429
755,755,755,16,0.927175,3.31677,0.207298,860737750,14.8348,45.6203
